año,mes,tavg_mean,tmin_mean,tmax_mean,prcp_sum,wspd_mean,pres_mean,dias_lluvia,dias_registro,fecha,prcp_3m,spi_3
1990,3,27.920137781469677,22.70617401319726,33.455343775039246,14.0,6.063763292475038,1010.9570570570572,2,31,1990-03-01,24.9,-1.294772525160032
1990,4,28.326813269621287,22.55455125470972,32.58621248197049,44.0,5.988205759101919,1010.745,3,30,1990-04-01,58.0,-1.0421507745830594
1990,5,28.054806918631805,22.459292780951767,32.69631491143463,41.3,7.040860215053763,1011.62688172043,8,31,1990-05-01,99.3,-0.5885651204480963
1990,6,29.01784325872451,22.81705110943456,34.49058447927592,0.0,8.018666666666666,1012.2233333333334,0,30,1990-06-01,85.3,-0.1754174614298054
1990,7,28.509032258064515,22.30483870967742,34.14903225806452,10.7,11.233548387096777,1012.4174193548388,5,31,1990-07-01,52.0,-0.19122175240888475
1990,8,29.83225806451613,23.47258064516129,35.685483870967744,11.1,10.692959770114944,1011.8156989247312,4,31,1990-08-01,21.799999999999997,-0.33233862245855467
1990,9,30.117272727272727,23.203030303030303,36.148371824199465,1.8,9.334751619755142,1011.0869500372856,3,30,1990-09-01,23.599999999999998,-0.28797936173498234
1990,10,28.07790757269302,21.891471517688714,33.53950326765928,10.6,7.007096774193548,1010.9167741935483,3,31,1990-10-01,23.5,-1.2770540457714112
1990,11,27.227895379235814,22.002971644201505,31.8726448459441,31.1,6.208666666666667,1010.9373333333334,5,30,1990-11-01,43.5,-1.2253439606587708
1990,12,27.06705206576843,21.98325641526661,31.63677227851543,49.3,6.147096774193548,1010.5896774193548,4,31,1990-12-01,91.0,-0.8306390470053425
1991,1,28.241935483870968,22.451612903225808,33.19462365591398,7.1,6.186486486486486,1010.9416216216216,5,31,1991-01-01,87.49999999999999,-0.655008865742407
1991,2,28.541071428571428,22.1375,32.964337993946906,107.2,6.405029585798816,1010.685798816568,7,28,1991-02-01,163.6,0.07810556722400919
1991,3,28.24357135067505,22.701064844493448,33.95066635568441,56.2,6.063763292475038,1010.9570570570572,5,31,1991-03-01,170.5,0.006320118329153167
1991,4,27.712333333333333,22.612,32.6628768209941,0.0,5.988205759101919,1010.745,0,30,1991-04-01,163.4,-0.22494501588384253
1991,5,28.061827956989244,22.563440860215056,33.72974033979865,43.5,7.040860215053763,1011.62688172043,5,31,1991-05-01,99.7,-0.5853980681653849
1991,6,29.182170222155374,23.65453879608673,33.76126104183661,0.5,8.018666666666666,1012.2233333333334,1,30,1991-06-01,44.0,-0.6204303053715079
1991,7,28.70345506111258,22.49558737815295,34.51031530286875,6.0,11.233548387096777,1012.4174193548388,4,31,1991-07-01,50.0,-0.21989547844204474
1991,8,28.809380009857357,22.585022807159547,34.17600098226702,1.0,10.692959770114944,1011.8156989247312,1,31,1991-08-01,7.5,-0.9889690726354923
1991,9,29.241666666666667,23.331666666666667,35.20130629713394,34.9,9.334751619755142,1011.0869500372856,4,30,1991-09-01,41.9,0.22332671381708605
1991,10,29.378225806451614,22.775,33.94195805568556,25.200000000000003,7.007096774193548,1010.9167741935483,4,31,1991-10-01,61.1,-0.582637708771413
1991,11,27.398409078472515,23.16250830938116,31.082962563231675,2.0,6.208666666666667,1010.9373333333334,1,30,1991-11-01,62.1,-1.0290883188084778
1991,12,28.02507050636973,22.59287712247713,32.42243166422432,0.3,6.147096774193548,1010.5896774193548,1,31,1991-12-01,27.500000000000004,-1.2673824141643553
1992,1,28.250514184460528,22.49119055361982,33.344124915739656,0.0,6.186486486486486,1010.9416216216216,0,31,1992-01-01,2.3,-1.856441058178988
1992,2,28.462637074073147,22.66865973992025,33.68739858192333,0.0,6.405029585798816,1010.685798816568,0,29,1992-02-01,0.3,-1.8957039687193848
1992,3,27.954045204259987,22.6485657348525,33.25677617103611,0.0,6.063763292475038,1010.9570570570572,0,31,1992-03-01,0.0,-1.6067550689692431
